# TEMPORARY exclusion candidates for the numeric mirror; not applied.
# Each row is individually reversible. Remove a row when its catalog mapping is fixed or the owner
# chooses to retain the source card. Deleting this file is part of retiring the temporary mirror branch.
# name	source_records	status	reason
A-Alrund's Epiphany	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Baba Lysaga, Night Witch	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Divide by Zero	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Esika's Chariot	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Faceless Haven	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Fires of Invention	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Goldspan Dragon	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Hullbreaker Horror	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Kumano Faces Kakkazan	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Luminarch Aspirant	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Monster Manual	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Omnath, Locus of Creation	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-The Meathook Massacre	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
A-Unholy Heat	1	OWNER_APPROVED_SKIP	rebalanced Forge card; no accepted catalog identity
Blinding Radiance	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
Cybernetics Specialist	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
Distract	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
Drake Stone	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
Enthrall	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
Goblin Bruiser	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
Ogre Painbringer	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
P-Joven and Chandler	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
Titanic Pelagosaur	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
Treetop Recluse	1	OWNER_APPROVED_SKIP	digital/custom Forge card with no accepted catalog identity
Joven and Chandler	1	PENDING_CLASSIFICATION	multiple Scryfall Oracle candidates remain unresolved
Pick Your Poison	1	PENDING_CLASSIFICATION	multiple Scryfall Oracle candidates remain unresolved
Red Herring	1	PENDING_CLASSIFICATION	multiple Scryfall Oracle candidates remain unresolved
Unquenchable Fury	1	PENDING_CLASSIFICATION	multiple Scryfall Oracle candidates remain unresolved
